INCOME,AGE_IN_YEARS,HAS_CHILDREN,RENTER,OWNER,GOOD_CREDIT,COLLEGE_DEGREE,AVG_DIST_FROM_HOME,MILLENIAL,DISTANCE_FROM_HOME,TRAVELER,TIME_OF_DAY
57500.0093,33.063373,1,0,0,1,1,49.86,1,24,0,12
57500.003,31.641604,0,0,1,1,0,25.52,1,31,0,10
47500.0047,31.309286,1,0,1,1,0,18.06,1,19,0,7
70000.0008,32.72633,1,0,0,1,0,58.86,1,32,0,17
80372.17748,31.387721,0,0,1,1,0,18.8,1,14,0,8
80372.17958,24.561622,1,0,0,1,0,40.14,1,8,0,8
80372.18188,33.059473,0,0,0,1,0,38.04,1,16,0,11
80372.18288,31.477995,0,0,0,1,0,20.04,1,4,0,9
12500.0007,29.640673,1,0,1,0,0,12,1,240,1,16
32500.0087,33.648673,1,0,1,0,1,31.79,1,20,0,18
80372.17678,32.306939,1,0,0,0,0,54.72,1,18,0,16
80372.17918,33.642673,0,0,0,0,0,8.1,1,6,0,13
87500.0051,29.896955,1,0,1,1,0,11.52,1,533,1,18
125000.005,30.225397,1,0,0,1,0,24.12,1,2,0,11
125000.005,26.562153,1,0,1,1,0,19.62,1,3,0,12
57500.0067,30.394106,1,0,1,1,1,39.24,1,30,0,19
80372.18528,33.229881,0,0,1,0,0,40.82,1,1,0,9
62500.0019,32.14153,0,1,0,1,0,1.33,1,8,0,11
80372.18398,29.899355,0,0,0,1,1,32.5,1,10,0,13
70000.0066,31.393321,0,0,0,1,0,5.17,1,7,0,10
80372.17738,31.305486,0,0,0,1,0,2.2,1,4,0,9
62500.007,33.228081,0,0,0,1,0,12.32,1,6,0,13
70000.0043,29.310255,1,0,1,1,0,5.94,1,1,0,8
17500.0024,31.222113,0,0,1,1,0,7.26,1,3,0,11
70000.0038,31.894286,0,0,1,1,0,2.16,1,4,0,10
87500.0062,33.898055,0,0,1,1,0,6.3,1,9,0,10
125000.0078,32.062557,1,0,1,1,0,36.18,1,21,0,16
80372.18598,32.73503,0,0,1,1,0,26.13,1,140,1,9
32500.0022,32.809866,0,0,0,1,0,4.2,1,9,0,6
80372.18098,28.645157,0,0,0,1,0,33.11,1,41,0,10
162500.0001,32.72563,1,0,0,0,0,34.56,1,24,0,17
47500.0066,32.975799,0,0,1,1,0,11.94,1,2,0,19
52500.0067,30.31197,1,0,0,0,0,33.04,1,38,0,18
70000.0039,28.14353,0,0,0,1,0,3.84,1,4,0,6
87500.0047,31.142277,1,0,1,1,1,52.56,1,13,0,7
125000.0006,32.14023,1,0,1,1,0,0.54,1,3,0,8
80372.18138,33.562737,0,0,1,1,0,24.86,1,32,0,6
27500.0083,32.314939,1,0,1,1,0,4.51,1,9,0,12
125000.0058,31.975684,1,0,1,1,1,59.58,1,34,0,9
80372.18368,32.73273,0,0,1,1,0,11.83,1,9,0,9
80372.17868,30.559353,0,0,0,1,0,17.4,1,29,0,8
80372.17938,33.809882,0,0,1,1,0,23,1,22,0,14
12500.0035,30.809797,1,0,1,0,0,33.4,1,32,0,19
125000.0046,30.89577,1,0,1,1,0,6.12,1,5,0,19
5000.0066,32.228366,1,0,1,0,0,35.75,1,7,0,13
27500.0007,27.557168,1,0,1,1,1,30.2,1,14,0,11
250000.0056,30.89677,0,0,1,1,1,8.96,1,5,0,8
70000.0085,30.732662,0,0,0,1,0,20.24,1,28,0,13
70000.0091,32.901639,0,0,1,1,0,8.14,1,7,0,9
87500.0018,32.642457,1,0,1,1,1,32.76,1,12,0,18
12500.0021,27.807713,1,1,0,1,0,1.9,1,6,0,9
27500.0099,32.064657,1,0,1,1,0,29.7,1,32,0,10
47500.0086,30.565753,0,0,0,1,0,17.4,1,43,0,17
80372.18358,26.227497,1,0,0,1,0,46.44,1,6,0,19
125000.0091,32.649757,0,0,1,1,0,23.1,1,15,0,6
47500.0055,27.728977,1,0,1,1,0,23.94,1,39,0,9
125000.001,29.558837,1,0,1,1,0,12.96,1,9,0,13
57500.0075,32.566022,1,0,0,1,0,51.12,1,28,0,7
47500.0065,29.479464,1,0,0,1,0,43.54,1,7,0,16
80372.18478,29.39639,0,0,1,1,0,14.17,1,3,0,18
87500.0083,25.147246,0,0,0,1,0,32.06,1,36,0,18
32500.0038,33.972315,1,0,1,1,1,27,1,7,0,13
47500.0063,30.059688,0,1,0,1,0,1.95,1,6,0,7
37500.0099,29.734746,0,0,0,1,0,6.72,1,4,0,8
125000.0046,29.896455,1,0,0,1,0,38.16,1,512,1,12
80372.17758,31.557568,0,0,1,1,0,22.9,1,16,0,19
27500.0021,30.641388,1,1,0,1,0,3.2,1,5,0,8
87500.0065,26.730662,1,0,1,1,0,25.56,1,28,0,13
37500.0082,31.060904,0,0,0,1,0,9.6,1,6,0,12
52500.0053,33.478264,0,0,0,1,0,16.6,1,10,0,19
80372.18108,33.225681,0,0,1,1,0,20.68,1,1,0,15
42500.0028,33.727646,1,0,1,0,0,43.68,1,4,0,6
80372.17688,31.556868,0,0,1,1,0,24.7,1,15,0,15
125000.0009,33.054973,1,0,0,1,0,23.22,1,37,0,8
62500.0016,27.892086,0,0,1,1,0,21.42,1,15,0,19
17500.0072,33.975715,0,0,1,0,1,9.72,1,2,0,11
70000.0077,33.39579,0,0,1,1,1,26.07,1,34,0,15
125000.0009,32.893439,0,0,0,1,1,41.99,1,2,0,6
80372.18458,33.062173,0,0,0,0,0,23.66,1,4,0,10
125000.0095,31.815113,1,0,1,1,0,17.1,1,3,0,15
70000.0021,31.971984,0,0,1,1,0,9.87,1,2,0,18
250000.0059,33.730746,1,0,1,1,1,40.86,1,26,0,18
80372.18448,27.646604,1,0,0,1,0,10.8,1,5,0,10
62500.0056,33.311555,0,0,0,1,0,8.64,1,5,0,6
80372.18418,29.732546,0,0,1,1,0,42.51,1,22,0,18
87500.0042,31.642804,1,0,1,1,0,18,1,2,0,12
125000.0043,33.972815,1,0,1,0,0,15.66,1,3,0,11
57500.0048,30.644088,0,0,0,0,0,15.28,1,8,0,6
12500.0045,32.812166,0,1,0,0,1,0.21,1,2,0,9
32500.0079,33.732746,1,0,1,0,0,5.06,1,4,0,18
80372.18178,32.060057,1,0,0,1,0,5.22,1,1,0,7
125000.0012,29.969715,1,0,1,1,0,19.8,1,265,1,10
52500.0028,31.893286,1,0,1,1,0,1.82,1,1,0,19
125000.0059,27.477495,0,0,0,1,0,1.68,1,5,0,15
80372.18098,32.897039,0,0,1,0,0,33.99,1,33,0,11
87500.0021,32.809766,1,0,1,1,0,32.04,1,5,0,8
125000.0001,27.723577,1,0,1,1,0,25.38,1,42,0,10
87500.0026,31.474195,0,0,1,1,0,29.16,1,27,0,11
87500.0067,28.395475,1,0,1,1,0,51.3,1,22,0,13
5000.0009,26.725062,0,1,0,0,0,5.07,1,2,0,16
80372.18198,28.394275,0,0,1,1,0,34.56,1,35,0,6
62500.0062,31.562668,1,0,1,1,0,6.66,1,4,0,9
87500.0015,33.970015,0,0,1,1,0,9.68,1,4,0,15
32500.0096,32.14923,0,0,0,0,0,3.08,1,9,0,17
62500.0078,31.394521,0,0,0,1,0,1.2,1,4,0,13
57500.0022,29.809182,1,0,1,1,0,52.74,1,19,0,10
57500.0011,28.222866,0,0,1,1,0,16.59,1,17,0,9
27500.0075,32.976699,0,0,1,1,0,6.24,1,7,0,19
47500.0045,30.561653,0,0,1,1,0,5.4,1,4,0,10
162500.0037,29.728546,0,0,1,1,0,3.51,1,3,0,16
225000.0011,32.055857,1,0,1,1,0,35.82,1,42,0,6
47500.0021,28.223866,1,0,0,1,0,15.08,1,5,0,18
27500.0033,91.140877,0,0,0,0,0,2.89,0,6,0,16
5000.0038,73.39189,0,0,1,0,0,1.02,0,6,0,18
42500.0016,61.893455,1,0,1,1,0,20.58,0,26,0,12
17500.0043,55.391021,1,0,1,1,1,37.73,0,18,0,15
62500.0095,46.815797,1,0,1,1,1,20.88,0,18,0,11
37500.0059,56.646557,0,0,1,0,0,9.3,0,9,0,7
62500.0032,59.389921,1,0,1,1,1,22.1,0,34,0,7
27500.0045,78.89567,1,0,1,1,0,2.28,0,8,0,11
27500.0073,66.813597,1,0,1,1,0,16.8,0,11,0,11
17500.003,82.560153,1,0,1,1,1,5,0,5,0,9
70000.0069,55.45090222,0,0,0,1,0,24.2,0,23,0,16
5000.0072,63.645804,1,0,1,0,1,16.4,0,31,0,14
70000.0059,54.31117,0,0,1,1,0,10.2,0,7,0,14
12500.0069,82.646188,1,0,1,0,1,7.23,0,8,0,8
42500.0038,81.39189,0,0,1,0,0,3.39,0,9,0,6
42500.0041,70.142361,1,1,0,0,1,11,0,2,0,17
80372.18128,55.44880222,0,0,1,1,0,13.53,0,2,0,13
37500.0074,77.061473,0,0,1,1,0,1.32,0,8,0,14
62500.004,55.44800222,1,0,1,0,0,21.24,0,32,0,9
70000.0004,60.222166,1,0,1,0,0,25.2,0,42,0,6
32500.0039,55.44790222,0,1,0,0,1,10.38,0,9,0,15
12500.0093,55.45330222,1,0,1,0,1,2.24,0,8,0,6
87500.008,84.900539,0,0,1,1,0,17.3,0,32,0,11
62500.0088,68.977999,1,0,1,1,1,19.35,0,17,0,19
47500.0006,74.639888,0,0,0,1,0,2.65,0,9,0,15
57500.0085,55.45250222,1,0,0,1,0,31.5,0,44,0,17
5000.001,69.640973,1,0,1,0,1,9.64,0,9,0,16
47500.0047,69.477664,0,0,1,1,1,4.74,0,9,0,17
125000.008,55.45200222,0,0,1,0,0,8.1,0,4,0,19
17500.0065,92.395275,1,0,0,0,0,0.12,0,4,0,6
32500.0086,62.146861,0,0,1,0,0,2.33,0,6,0,16
22500.0087,55.45270222,0,0,0,1,0,3,0,9,0,12
80372.18538,55.45290222,0,0,0,0,0,20.64,0,35,0,14
125000.0047,67.142277,0,0,1,1,1,17.76,0,38,0,15
80372.17698,54.806797,0,0,1,0,0,4.07,0,2,0,8
57500.0035,61.224581,1,0,0,0,1,28.17,0,43,0,8
57500.0038,65.224881,1,0,1,1,1,22.95,0,14,0,13
87500.003,60.972199,1,0,1,1,1,6.5,0,4,0,11
62500.008,68.396775,1,0,1,1,1,26.19,0,37,0,19
5000.0065,80.480148,0,0,1,0,0,1.72,0,4,0,6
80372.17948,55.44700222,0,0,0,0,0,0.2,0,2,0,14
12500.007,74.564153,0,0,1,1,0,2.49,0,7,0,11
70000.0043,55.44830222,0,0,1,1,0,12.8,0,1,0,15
62500.0092,68.73473,1,0,1,1,0,31.32,0,27,0,15
32500.0077,88.314339,0,0,1,1,0,2.23,0,3,0,13
17500.0023,90.97013,0,0,0,1,0,2.39,0,8,0,16
42500.0049,73.896755,1,0,1,1,0,12.32,0,7,0,19
125000.0013,65.893155,1,0,1,1,0,36,0,33,0,13
32500.0096,59.979484,1,0,0,0,0,21.14,0,18,0,11
70000.0085,60.816166,1,0,0,0,0,1.69,0,3,0,7
47500.0072,84.899739,0,0,1,0,0,2.51,0,6,0,16
42500.0015,88.560022,1,0,1,0,0,7.24,0,6,0,15
47500.0088,55.45280222,1,0,1,1,0,17.28,0,39,0,12
80372.18168,55.44920222,0,0,1,1,0,10.45,0,3,0,17
87500.0061,53.479064,0,0,1,1,0,50.25,0,39,0,17
250000.0023,68.308939,1,0,1,1,1,40.95,0,28,0,11
125000.0087,97.314655,1,0,1,1,0,31.85,0,41,0,6
27500.0039,86.89507,0,0,1,1,1,1.58,0,6,0,7
87500.0026,57.39069,1,0,1,1,0,62.1,0,2,0,10
62500.0031,76.057857,1,0,1,1,0,22.12,0,12,0,12
42500.0061,45.974615,0,0,1,1,0,8.58,0,7,0,13
17500.0001,60.221866,1,0,1,1,0,2.44,0,8,0,11
42500.0072,66.813497,0,0,1,1,0,6.94,0,7,0,11
22500.0071,62.31237,0,0,1,0,1,1.05,0,99,1,7
5000.009,55.45300222,1,0,1,0,1,17.43,0,6,0,7
87500.0082,60.481848,1,0,1,1,0,27.9,0,3,0,10
62500.0004,84.641057,1,0,1,1,1,18.06,0,30,0,8
37500.0081,75.813713,1,0,1,0,0,13.25,0,9,0,14
42500.0044,64.562922,1,0,1,0,1,6.06,0,6,0,6
37500.0031,74.809397,1,0,1,1,0,10.16,0,1,0,16
87500.0044,55.141977,0,0,1,1,0,39.48,0,1,0,14
47500.0002,67.304786,1,0,1,1,0,19.14,0,34,0,18
70000.0036,62.89477,0,0,1,1,0,8.43,0,1,0,13
37500.0051,55.561568,1,1,0,1,1,20.43,0,24,0,9
12500.0036,70.560753,0,0,1,0,0,0.31,0,3,0,12
32500.0063,59.811913,1,0,1,0,0,23.31,0,40,0,19
125000.0004,54.472679,1,0,1,1,0,9,0,6,0,7
17500.0051,56.812766,1,0,1,1,0,0.14,0,401,1,18
5000.0047,89.477664,1,0,1,0,0,5.64,0,7,0,13
32500.0073,55.645904,1,0,0,0,0,20.3,0,31,0,7
27500.0046,55.44860222,1,1,0,0,0,31.24,0,26,0,18
87500.0051,73.144046,0,0,1,1,1,11.84,0,172,1,19
57500.0077,54.813997,1,0,1,1,0,22.86,0,40,0,8
62500.0037,57.476664,1,0,1,1,1,28.08,0,44,0,10
225000.0025,53.39059,1,0,1,1,1,50.4,0,31,0,19
87500.0088,69.062873,0,0,1,1,0,20.72,0,29,0,19
42500.0044,66.728562,0,0,1,1,0,0.06,0,9,0,12
70000.0086,74.565753,1,0,1,1,0,29.34,0,29,0,16
57500.006,89.227081,0,0,1,1,0,4.52,0,9,0,14
70000.0021,40.308739,1,0,1,1,1,34.2,0,35,0,9
125000.0017,60.14133,0,0,1,1,0,20.28,0,39,0,8
70000.0001,55.386821,1,0,1,1,1,42.66,0,26,0,12
17500.0028,78.559953,1,0,1,1,1,3.64,0,8,0,18
5000.0002,57.38829,0,0,1,1,1,6.02,0,7,0,19
70000.0004,55.44440222,0,0,0,1,0,24.08,0,33,0,8
87500.009,52.397775,1,0,1,1,1,52.56,0,39,0,8
125000.005,60.393775,0,0,1,1,0,20.64,0,5,0,8
125000.0006,74.557753,0,0,1,1,1,2.24,0,301,1,12
62500.0038,55.44780222,0,0,0,0,0,22.08,0,27,0,17
62500.0008,66.557953,1,0,1,1,0,22.56,0,44,0,10
87500.0033,81.476264,1,0,1,1,0,16.9,0,33,0,13
5000.0063,77.898155,1,0,1,0,0,10.2,0,9,0,13
